distance_from_selected_vessel,selected_vessel_course,selected_vessel_heading,selected_vessel_distance_per_tick,selected_vessel_distance_to_turn_point,course,heading,distance_per_tick,distance_to_turn_point,ais_range,dark_activity
10665.198039749026,175.74253581810714,114.76415806367238,493.8666666666667,4869.282982999071,99.81253609343617,131.42949593418714,463.0,1814.2871082647296,11112,False
5340.823276768528,156.21558739387302,113.15668179479435,493.8666666666667,4441.967662366294,-80.1238259040593,279.81253609343617,493.8666666666667,1951.0969152150121,14816,True
12816.455125487666,136.6886389696389,112.1498568366455,493.8666666666667,3960.470841140656,9.335589240854915,9.345466318195747,771.6,645.5407744406787,12904,False
14502.44375965888,156.21558739387302,110.33609252662804,493.8666666666667,3469.598347744486,20.515907337446205,20.553742810444533,493.8666666666667,11826.14317720991,14816,False
13032.875846521241,156.21558739387302,104.88250338385478,493.8666666666667,2022.2504021643672,8.16864058574805,9.345466318195747,771.6,1825.546159990164,12904,False
2324.0409324041566,19.067363345417917,287.1687158617724,771.6,685.8684465445326,-181.04509800844525,146.28625008753224,308.6666666666667,119.59586609319344,9260,True
4745.768164777379,19.067363345417917,287.1687158617724,771.6,685.8684465445326,105.31836271482958,77.47760111900648,771.6,812.1297367744479,12904,True
12390.501571408222,19.067363345417917,287.1687158617724,771.6,685.8684465445326,-138.0787477756193,-151.91401014315772,771.6,4298.534814922762,12904,False
997.0755974651906,99.81253609343617,119.53095830802131,493.8666666666667,5630.181060129036,87.33596908175664,122.9294762955806,308.6666666666667,4717.446898297762,9260,True
11355.121275892232,99.81253609343617,120.15250713798547,493.8666666666667,5141.183423791202,9.335589240854915,279.81253609343617,463.0,8257.171230926637,11112,False
12490.581165638348,87.33596908175664,122.22469950295068,493.8666666666667,3716.595034724491,-20.79141088300509,311.5948694113114,771.6,826.0225133009084,12904,False
14831.476212269508,-137.95110495882355,-121.59445165414441,463.0,4159.523502047649,57.2138542339808,66.02255507052573,493.8666666666667,9265.423529204469,14816,False
3766.6587982924534,176.98696210605632,134.92372711956548,493.8666666666667,279.61416927705676,-2.4140000365102656,356.98696210605635,308.6666666666667,687.5081366430087,9260,True
10719.190327487377,47.06222532900674,9.345466318195747,771.6,1472.3496900371333,-136.84651017379977,-113.2879528198423,463.0,5720.057159446573,11112,False
11518.315951900651,93.61632241318185,85.68707553701219,493.8666666666667,733.3553292146796,-136.84651017379977,-111.05826584682269,463.0,3000.094273904733,11112,False
8341.028547858685,107.16871586177241,66.5802441677651,493.8666666666667,1179.8090953683075,41.833089181339325,311.5948694113114,771.6,8780.797846848689,12904,True
11374.019969445866,107.16871586177241,50.253018179123735,493.8666666666667,616.6436576404958,-138.0787477756193,-150.81461804223855,463.0,6074.425486548657,11112,False
12849.143715792254,69.05520066108527,45.14460112859429,493.8666666666667,2246.6506385606863,-136.84651017379977,-113.49485214787272,771.6,5104.026019421912,12904,False
14868.335186291886,77.68710074372092,38.21430313115026,493.8666666666667,1786.2381238339128,-120.81890430366688,-149.20995217277815,493.8666666666667,2508.6703329812194,14816,False
9085.849410974819,69.05520066108527,31.644435969721254,493.8666666666667,1395.4229070658128,-155.3385912475717,-147.5376098937173,308.6666666666667,10157.822115629098,9260,False
13114.566378543643,69.05520066108527,31.644435969721254,493.8666666666667,1395.4229070658128,-138.0787477756193,-149.41393975059822,771.6,5537.843959273415,12904,False
41914.448783577944,177.2406418290784,106.54810468229492,771.6,665.428228859559,93.61632241318185,98.09131217620664,308.6666666666667,328.8268237236454,9260,True
48246.7386720795,177.2406418290784,106.54810468229492,771.6,665.428228859559,-120.81890430366688,-150.92099950652218,771.6,6411.096162037129,12904,False
2797.373780145907,176.98696210605632,77.52336181982145,771.6,606.9326582492788,177.10117274936346,176.9232914692666,308.6666666666667,938.7579942537044,9260,True
122127.57241469833,131.5948694113114,135.03009479530337,463.0,298.44433133761316,-102.69538553213297,-120.83774405412692,771.6,8910.77646933014,12904,False
9069.253115412965,131.5948694113114,131.5948694113114,771.6,517.586463576422,-48.338497850780875,311.5948694113114,308.6666666666667,3369.2693261391137,9260,False
2536.9084375289403,176.98696210605632,166.62140569127607,308.6666666666667,241.4469105189893,-2.8983263839444935,356.98696210605635,308.6666666666667,546.5741644319093,9260,True
37236.097743197235,-2.254261785589806,357.2406418290784,463.0,160.61455578501878,69.05520066108527,44.73402485880872,308.6666666666667,1378.0775307132194,9260,False
12520.245972771521,131.5948694113114,129.89828258989647,771.6,10106.661155475205,-26.73181399243511,311.5948694113114,771.6,4783.233635003577,12904,False
10323.718960498736,131.5948694113114,129.89828258989647,771.6,8591.01721926054,-70.10834766605188,311.5948694113114,771.6,3908.8414853571944,12904,True
11549.50267474724,131.5948694113114,129.89828258989647,771.6,5543.74846131,112.28910310511569,122.62175926803913,463.0,5579.581985780219,11112,False
11356.804618458378,19.067363345417917,27.58431776165031,493.8666666666667,847.3904703494559,-138.0787477756193,-145.6984752861603,463.0,5040.325184726265,11112,False
13090.297143197009,99.81253609343617,118.74050411984805,493.8666666666667,5141.218821607245,9.335589240854915,311.5948694113114,771.6,6473.9857439314155,12904,False
14539.432811210501,43.08353131928962,71.46621715397282,308.6666666666667,1040.53031903781,-155.3385912475717,-146.42555891715645,493.8666666666667,3259.931869247914,14816,False
47592.32845801864,199.11033236931337,-134.52193119130186,463.0,350.2585285785578,-138.0787477756193,-145.6149540514045,493.8666666666667,7930.951965088587,14816,True
49351.00306740964,199.11033236931337,-134.52193119130186,463.0,350.2585285785578,-138.0787477756193,-148.35394835535084,493.8666666666667,3039.2098795239563,14816,False
